queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,TXT_has_question_mark,LING_query_type,LING_tense,LING_has_negation,LING_has_conditional,LING_modality_type,LING_clause_complexity,LING_verb_count,LING_noun_count,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_location_count,SEM_entity_media_count,SEM_entity_finance_count,SEM_entity_health_count,SEM_entity_other_count,SEM_entity_distinct_count,SEM_abstractness,SEM_specificity,SEM_ambiguity,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_multimodal_level,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,TEMP_location_required,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations,COMP_reasoning_depth
오늘 미팅 장소와 시간은 어디지?,14.0835,18.0,15.0,6.0,2.5,1.0,1.0,0.0,0.83,1.0,information_time_location,present,0.0,0.0,none,simple,1.0,2.0,0.5,personal,schedule,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3,0.9,0.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_point,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
오늘 약속 장소와 시간은 어디지?,6.7843,18.0,15.0,6.0,2.5,1.0,1.0,0.0,0.83,1.0,information_time_location,present,0.0,0.0,none,simple,1.0,2.0,0.5,personal,schedule,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3,0.9,0.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_point,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
오늘 세미나 장소와 시간은 어디지?,20.0484,19.0,16.0,6.0,2.67,1.0,1.0,0.0,0.84,1.0,information_time_location,present,0.0,0.0,none,simple,1.0,2.0,0.5,personal,schedule,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3,0.9,0.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_point,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
오늘 회의 장소와 시간은 어디지?,11.4985,18.0,15.0,6.0,2.5,1.0,1.0,0.0,0.83,1.0,information_time_location,present,0.0,0.0,none,simple,1.0,2.0,0.5,personal,schedule,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.3,0.9,0.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_point,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
작년 결혼기념일 때 갔던 레스토랑 어디였지?,13.2869,24.0,21.0,7.0,3.0,1.0,1.0,0.0,0.88,1.0,information_past,past,0.0,0.0,none,simple,1.0,2.0,0.5,personal,leisure,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_point,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
뉴욕 여행 때 갔던 브런치 집 어디였지?,15.9983,23.0,19.0,7.0,2.71,1.0,1.0,0.0,0.83,1.0,information_past,past,0.0,0.0,none,simple,1.0,3.0,0.33,personal,travel,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4,0.8,0.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_point,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
부모님 생신 때 갔던 호텔 어디였지?,14.627,22.0,19.0,7.0,2.71,1.0,1.0,0.0,0.86,1.0,information_past,past,0.0,0.0,none,simple,1.0,3.0,0.33,personal,leisure,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.4,0.8,0.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_point,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
친구 결혼식 때 갔던 식장 어디였지?,21.6479,24.0,20.0,7.0,2.86,1.0,1.0,0.0,0.83,1.0,information_past,past,0.0,0.0,none,simple,1.0,3.0,0.33,personal,social,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.4,0.8,0.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_point,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
성훈이랑 최근에 언제 만났더라?,14.5831,20.0,17.0,6.0,2.83,1.0,1.0,0.0,0.85,0.0,information_past,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,social,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.7,0.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1,2.0,0.5,1.0,0.8,0.8,2.0,1.0,0.0,2.0
성훈이랑 최근에 어디서 만났더라?,17.0392,21.0,18.0,6.0,3.0,1.0,1.0,0.0,0.86,0.0,information_past,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,social,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.4,0.7,0.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1,2.0,0.5,1.0,0.8,0.8,2.0,1.0,0.0,2.0
성훈이랑 최근에 몇 시에 만났더라?,18.6927,22.0,19.0,7.0,2.71,1.0,1.0,0.0,0.86,0.0,information_past,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,social,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.7,0.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1,2.0,0.5,1.0,0.8,0.8,2.0,1.0,0.0,2.0
성훈이랑 최근에 무엇 때문에 만났더라?,22.4367,24.0,21.0,7.0,3.0,1.0,1.0,0.0,0.88,0.0,information_past,past,0.0,0.0,none,complex,1.0,1.0,1.0,personal,social,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.7,0.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,time_range,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 운동 몇 번이나 했지?,12.7229,18.0,15.0,6.0,2.5,1.0,1.0,0.0,0.83,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,health,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 걷기 몇 번이나 했지?,20.8216,18.0,15.0,6.0,2.5,1.0,1.0,0.0,0.83,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,health,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 요가 몇 번이나 했지?,15.467,18.0,15.0,6.0,2.5,1.0,1.0,0.0,0.83,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,health,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 수영 몇 번이나 했지?,9.3088,18.0,15.0,6.0,2.5,1.0,1.0,0.0,0.83,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,health,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 쿠팡에서 총 얼마나 썼지?,21.5989,21.0,18.0,6.0,3.0,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,finance,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 이마트에서 총 얼마나 썼지?,12.7241,22.0,19.0,6.0,3.17,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,finance,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 전통시장에서 총 얼마나 썼지?,23.353,23.0,20.0,6.0,3.33,1.0,1.0,0.0,0.87,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,finance,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 편의점에서 총 얼마나 썼지?,25.8917,22.0,19.0,6.0,3.17,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,finance,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 유튜브를 총 몇 시간 재생했지?,17.2496,24.0,21.0,7.0,3.0,1.0,1.0,0.0,0.88,1.0,information_stats,past,0.0,0.0,none,simple,1.0,2.0,0.5,personal,media,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 넷플릭스를 총 몇 시간 재생했지?,22.1453,26.0,23.0,7.0,3.29,1.0,1.0,0.0,0.88,1.0,information_stats,past,0.0,0.0,none,simple,1.0,2.0,0.5,personal,media,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 케이팝 플레이리스트를 총 몇 시간 재생했지?,26.7749,33.0,29.0,8.0,3.63,1.0,1.0,0.0,0.88,1.0,information_stats,past,0.0,0.0,none,simple,1.0,3.0,0.33,personal,media,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달에 팟캐스트를 총 몇 시간 재생했지?,24.7164,27.0,23.0,7.0,3.29,1.0,1.0,0.0,0.85,1.0,information_stats,past,0.0,0.0,none,simple,1.0,2.0,0.5,personal,media,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.4,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난해에 약속이 몇 번이나 있었지?,33.8893,22.0,19.0,7.0,2.71,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,social,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
지난해에 모임이 몇 번이나 있었지?,28.1026,22.0,19.0,7.0,2.71,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,social,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
지난해에 회식이 몇 번이나 있었지?,20.4603,22.0,19.0,7.0,2.71,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,social,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
지난해에 여행이 몇 번이나 있었지?,13.163,22.0,19.0,7.0,2.71,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,travel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
올해 상반기에 옷을 몇 번이나 샀지?,19.9251,23.0,20.0,7.0,2.86,1.0,1.0,0.0,0.87,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,shopping,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
올해 상반기에 신발을 몇 번이나 샀지?,20.4428,25.0,22.0,7.0,3.14,1.0,1.0,0.0,0.88,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,shopping,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
올해 상반기에 생필품을 몇 번이나 샀지?,28.4905,27.0,24.0,7.0,3.43,1.0,1.0,0.0,0.89,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,shopping,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
올해 상반기에 화장품을 몇 번이나 샀지?,17.8084,27.0,24.0,7.0,3.43,1.0,1.0,0.0,0.89,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,shopping,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
지난주에 영어 회화를 몇 시간 했지?,18.2183,23.0,20.0,7.0,2.86,1.0,1.0,0.0,0.87,1.0,information_stats,past,0.0,0.0,none,simple,1.0,2.0,0.5,personal,education,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난주에 자격증 공부를 몇 시간 했지?,18.8426,27.0,24.0,7.0,3.43,1.0,1.0,0.0,0.89,1.0,information_stats,past,0.0,0.0,none,simple,1.0,2.0,0.5,personal,education,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
지난주에 독서를 몇 시간 했지?,16.7158,21.0,18.0,6.0,3.0,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,leisure,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
지난주에 오프라인 합주를 몇 시간 했지?,21.5635,26.0,23.0,7.0,3.29,1.0,1.0,0.0,0.88,1.0,information_stats,past,0.0,0.0,none,simple,1.0,2.0,0.5,personal,leisure,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,1.0,0.0,2.0
올해 캠핑을 몇 번이나 갔지?,15.08,20.0,17.0,6.0,2.83,1.0,1.0,0.0,0.85,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,leisure,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
올해 나들이를 몇 번이나 갔지?,26.4506,22.0,19.0,6.0,3.17,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,leisure,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
올해 산책을 몇 번이나 갔지?,14.2559,21.0,18.0,6.0,3.0,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,health,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
올해 여행을 몇 번이나 갔지?,16.9997,20.0,17.0,6.0,2.83,1.0,1.0,0.0,0.85,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,travel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
이번 달에 배달 음식을 몇 번 먹었지?,12.1014,23.0,20.0,7.0,2.86,1.0,1.0,0.0,0.87,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,lifestyle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
이번 달에 외식을 몇 번 먹었지?,25.2473,22.0,19.0,7.0,2.71,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,lifestyle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.2,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
이번 달에 카페를 몇 번 먹었지?,17.5864,21.0,18.0,7.0,2.57,1.0,1.0,0.0,0.86,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,lifestyle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
이번 달에 편의점에서 몇 번 먹었지?,20.9935,23.0,20.0,7.0,2.86,1.0,1.0,0.0,0.87,1.0,information_stats,past,0.0,0.0,none,simple,1.0,1.0,1.0,personal,lifestyle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.6,1.0,0.8,0.8,2.0,1.0,0.0,2.0
지난달과 비교했을 때 이번 달 운동량이 얼마나 늘었지?,23.8735,31.0,27.0,9.0,3.0,1.0,1.0,0.0,0.87,1.0,information_comparison,past,0.0,1.0,none,complex,1.0,2.0,0.5,personal,health,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,2.0,0.0,3.0
지난달과 비교했을 때 이번 달 걸음 수가 얼마나 늘었지?,12.2085,33.0,29.0,9.0,3.22,1.0,1.0,0.0,0.88,1.0,information_comparison,past,0.0,1.0,none,complex,1.0,3.0,0.33,personal,health,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,2.0,0.0,3.0
지난달과 비교했을 때 이번 달 칼로리 소모가 얼마나 늘었지?,14.8955,37.0,32.0,9.0,3.56,1.0,1.0,0.0,0.86,1.0,information_comparison,past,0.0,1.0,none,complex,1.0,3.0,0.33,personal,health,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,2.0,0.0,3.0
지난달과 비교했을 때 이번 달 활동 시간이 얼마나 늘었지?,24.6488,37.0,32.0,9.0,3.56,1.0,1.0,0.0,0.86,1.0,information_comparison,past,0.0,1.0,none,complex,1.0,3.0,0.33,personal,health,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.8,0.3,1.0,1.0,1.0,0.0,0.0,1.0,1.0,time_range,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2,2.0,0.7,2.0,0.8,0.8,2.0,2.0,0.0,3.0
작년과 비교했을 때 올해 카드 결제액이 얼마나 늘었지?,25.3443,26.0,23.0,6.0,3.83,1.0,0.0,0.0,0.26,0.0,summary,past,0.0,0.0,deontic,simple,1.0,2.0,0.5,productivity,media,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.7,0.2,2.0,1.0,0.0,0.0,1.0,1.0,1.0,explicit,2.0,2.0,0.0,0.0,2.0,1.0,1.0,neutral,2.0,0.6,1.0,0.8,0.7,2.0,1.0,0.0,2.0
작년과 비교했을 때 올해 여가 비용이 얼마나 늘었지?,20.8705,25.0,22.0,6.0,3.67,1.0,0.0,0.0,0.24,0.0,summary,past,0.0,0.0,deontic,simple,1.0,2.0,0.5,productivity,media,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,0.7,0.2,2.0,1.0,0.0,0.0,1.0,1.0,1.0,explicit,2.0,2.0,0.0,0.0,2.0,1.0,1.0,neutral,2.0,0.6,1.0,0.8,0.7,2.0,1.0,0.0,2.0
작년과 비교했을 때 올해 고정 지출이 얼마나 늘었지?,23.7459,26.0,22.0,7.0,3.14,1.0,0.0,0.0,0.27,0.0,information,past,0.0,0.0,deontic,complex,1.0,3.0,0.33,travel,none,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,0.6,0.3,2.0,1.0,0.0,0.0,1.0,1.0,1.0,none,0.0,0.0,0.0,1.0,2.0,1.0,1.0,neutral,2.0,0.6,1.0,0.7,0.7,2.0,1.0,0.0,2.0
작년과 비교했을 때 올해 생활비가 얼마나 늘었지?,24.2751,24.0,21.0,7.0,3.0,1.0,0.0,0.0,0.29,0.0,information,past,0.0,0.0,deontic,complex,1.0,3.0,0.33,travel,none,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6,0.3,2.0,1.0,0.0,0.0,1.0,1.0,1.0,none,0.0,0.0,0.0,1.0,2.0,1.0,1.0,neutral,2.0,0.5,1.0,0.7,0.7,2.0,1.0,0.0,2.0
올해 가장 많이 들었던 음악 순서대로 알려줘,25.2008,23.0,20.0,7.0,2.86,1.0,0.0,0.0,0.3,0.0,information,past,0.0,0.0,deontic,complex,1.0,3.0,0.33,travel,none,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,0.6,0.3,2.0,1.0,0.0,0.0,1.0,1.0,1.0,explicit,3.0,2.0,0.0,1.0,2.0,1.0,1.0,neutral,2.0,0.5,1.0,0.7,0.7,2.0,1.0,0.0,2.0
올해 가장 많이 시청했던 유튜브 채널 순서대로 알려줘,20.1194,24.0,21.0,7.0,3.0,1.0,0.0,0.0,0.29,0.0,information,past,0.0,0.0,deontic,complex,1.0,3.0,0.33,travel,social,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,0.6,0.3,2.0,1.0,0.0,0.0,1.0,1.0,1.0,none,0.0,0.0,0.0,1.0,2.0,1.0,1.0,neutral,2.0,0.5,1.0,0.7,0.7,2.0,1.0,0.0,2.0
