queries,MAL,QL_char_len,QL_word_len,QL_has_time_ref,QL_time_granularity,QL_has_future_ref,QL_urgency_level,QL_task_type,QL_data_modalities,QL_personalization_depth,QL_requires_history_span,QL_requires_external_knowledge,QL_location_coupled,QL_output_size_expectation,QL_comparison_required,QL_summary_required,QL_recommender_task,QL_visual_input_ref,QL_social_context,QL_device_likely_mobile,QL_goal_type,QL_question_formality,QL_contains_numeric_amount,QL_financial_domain,QL_health_activity_domain,QL_media_domain,QL_shopping_domain,QL_travel_location_domain,QL_calendar_schedule_domain,QL_chat_analysis,QL_requires_cross_modal,QL_temporal_comparison,QL_long_horizon_planning,QL_preference_learning,QL_cost_savings_focus,QL_weather_coupled,QL_session_length_hint,QL_requires_ranking,QL_requires_structured_output,QL_reference_to_past_recommendation,QL_refers_to_goal_or_target,QL_contains_season_ref,QL_context_phrase_now_here,QL_recall_specific_entity,QL_counting_frequency,QL_language_complexity_proxy,QL_has_explicit_constraint_price,QL_has_explicit_constraint_time_window,QL_has_explicit_constraint_distance,QL_emb_intent_cluster,QL_emb_complexity_axis,QL_emb_personalization_axis
올해 상반기에 신발을 몇 번이나 샀지?,20.4428,21,6,1,4,0,1,retrieve_aggregate_stats,commerce/shopping,1,3,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.42,0.6
올해 상반기에 생필품을 몇 번이나 샀지?,28.4905,22,6,1,4,0,1,retrieve_aggregate_stats,commerce/shopping,1,3,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.42,0.6
올해 상반기에 화장품을 몇 번이나 샀지?,17.8084,22,6,1,4,0,1,retrieve_aggregate_stats,commerce/shopping,1,3,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.42,0.6
지난주에 영어 회화를 몇 시간 했지?,18.2183,20,6,1,3,0,1,retrieve_aggregate_stats,other,1,1,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.36,0.6
지난주에 자격증 공부를 몇 시간 했지?,18.8426,24,6,1,3,0,1,retrieve_aggregate_stats,other,1,1,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.37,0.6
지난주에 독서를 몇 시간 했지?,16.7158,16,5,1,3,0,1,retrieve_aggregate_stats,other,1,1,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.35,0.6
지난주에 오프라인 합주를 몇 시간 했지?,21.5635,24,6,1,3,0,1,retrieve_aggregate_stats,other,1,1,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.37,0.6
올해 캠핑을 몇 번이나 갔지?,15.08,16,5,1,4,0,1,retrieve_aggregate_stats,travel/location,1,3,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.4,0.6
올해 나들이를 몇 번이나 갔지?,26.4506,16,5,1,4,0,1,retrieve_aggregate_stats,travel/location,1,3,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.4,0.6
올해 산책을 몇 번이나 갔지?,14.2559,16,5,1,4,0,1,retrieve_aggregate_stats,activity/health,1,3,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.4,0.6
올해 여행을 몇 번이나 갔지?,16.9997,16,5,1,4,0,1,retrieve_aggregate_stats,travel/location,1,3,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.42,0.6
이번 달에 배달 음식을 몇 번 먹었지?,12.1014,27,7,1,3,0,1,retrieve_aggregate_stats,other,1,2,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.36,0.6
이번 달에 외식을 몇 번 먹었지?,25.2473,23,6,1,3,0,1,retrieve_aggregate_stats,other,1,2,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.36,0.6
이번 달에 카페를 몇 번 먹었지?,17.5864,22,6,1,3,0,1,retrieve_aggregate_stats,other,1,2,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.36,0.6
이번 달에 편의점에서 몇 번 먹었지?,20.9935,27,7,1,3,0,1,retrieve_aggregate_stats,other,1,2,0,0,1,0,0,0,0,0,0,monitor/track,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,recall_aggregate_stats,0.36,0.6
지난달과 비교했을 때 이번 달 운동량이 얼마나 늘었지?,23.8735,30,8,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,analyze/compare,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_activity,0.4,0.5
지난달과 비교했을 때 이번 달 걸음 수가 얼마나 늘었지?,12.2085,31,9,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,analyze/compare,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_activity,0.4,0.5
지난달과 비교했을 때 이번 달 칼로리 소모가 얼마나 늘었지?,14.8955,33,9,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,analyze/compare,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_activity,0.4,0.5
지난달과 비교했을 때 이번 달 활동 시간이 얼마나 늘었지?,24.6488,32,9,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,analyze/compare,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_activity,0.4,0.5
작년과 비교했을 때 올해 카드 결제액이 얼마나 늘었지?,25.3443,30,8,1,4,0,1,compare_stats,transaction/finance,1,3,0,0,1,1,0,0,0,0,0,analyze/compare,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_finance,0.42,0.5
작년과 비교했을 때 올해 여가 비용이 얼마나 늘었지?,20.8705,29,8,1,4,0,1,compare_stats,transaction/finance,1,3,0,0,1,1,0,0,0,0,0,analyze/compare,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_finance,0.42,0.5
작년과 비교했을 때 올해 고정 지출이 얼마나 늘었지?,23.7459,29,8,1,4,0,1,compare_stats,transaction/finance,1,3,0,0,1,1,0,0,0,0,0,analyze/compare,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_finance,0.42,0.5
작년과 비교했을 때 올해 생활비가 얼마나 늘었지?,24.2751,29,8,1,4,0,1,compare_stats,transaction/finance,1,3,0,0,1,1,0,0,0,0,0,analyze/compare,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_finance,0.42,0.5
올해 가장 많이 들었던 음악 순서대로 알려줘,25.2008,24,7,1,4,0,1,retrieve_aggregate_stats,media_history,1,3,0,0,2,0,0,0,0,0,0,entertain,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,aggregate_media_ranking,0.45,0.6
올해 가장 많이 시청했던 유튜브 채널 순서대로 알려줘,20.1194,29,8,1,4,0,1,retrieve_aggregate_stats,media_history,1,3,0,0,2,0,0,0,0,0,0,entertain,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,aggregate_media_ranking,0.45,0.6
올해 가장 많이 플레이한 게임 순서대로 알려줘,33.9973,24,7,1,4,0,1,retrieve_aggregate_stats,media_history,1,3,0,0,2,0,0,0,0,0,0,entertain,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,aggregate_media_ranking,0.45,0.6
올해 가장 많이 본 드라마 순서대로 알려줘,12.8249,24,7,1,4,0,1,retrieve_aggregate_stats,media_history,1,3,0,0,2,0,0,0,0,0,0,entertain,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,aggregate_media_ranking,0.45,0.6
지난달에 성진이랑 통화한 횟수 이번달과 비교해줘,19.2887,26,6,1,3,0,1,compare_stats,communication/chat,1,2,0,0,1,1,0,0,0,1,0,monitor/track,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,compare_communication_counts,0.35,0.6
지난달에 성진이랑 메시지 교환 횟수 이번달과 비교해줘,21.6109,29,7,1,3,0,1,compare_stats,communication/chat,1,2,0,0,1,1,0,0,0,1,0,monitor/track,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,compare_communication_counts,0.35,0.6
지난달에 성진이랑 만난 횟수 이번달과 비교해줘,20.2698,25,6,1,3,0,1,compare_stats,communication/chat,1,2,0,0,1,1,0,0,0,1,0,monitor/track,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,compare_communication_counts,0.35,0.6
지난달에 성진이랑 영상통화 횟수 이번달과 비교해줘,14.0343,27,6,1,3,0,1,compare_stats,communication/chat,1,2,0,0,1,1,0,0,0,1,0,monitor/track,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,compare_communication_counts,0.35,0.6
온라인 쇼핑과 오프라인 쇼핑 결제 금액 비교해줘,32.1986,26,7,0,0,0,0,compare_stats,transaction/finance,1,0,0,0,1,1,0,0,0,0,0,monitor/track,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_finance,0.4,0.5
카드 결제와 현금 결제 금액 비교해줘,26.7424,20,6,0,0,0,0,compare_stats,transaction/finance,1,0,0,0,1,1,0,0,0,0,0,monitor/track,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_finance,0.4,0.5
이번 달과 지난달 결제 금액 비교해줘,21.2016,20,6,1,3,0,1,compare_stats,transaction/finance,1,2,0,0,1,1,0,0,0,0,0,monitor/track,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_finance,0.4,0.5
평일과 주말 결제 금액 비교해줘,30.0478,17,5,1,3,0,1,compare_stats,transaction/finance,1,1,0,0,1,1,0,0,0,0,0,monitor/track,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_finance,0.38,0.5
이번 달이랑 지난달 근무 시간을 비교해줘,31.5749,22,6,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_time_use,0.38,0.5
이번 달이랑 지난달 회의 시간을 비교해줘,17.9169,24,6,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_time_use,0.38,0.5
이번 달이랑 지난달 학습 시간을 비교해줘,21.2882,24,6,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_time_use,0.38,0.5
이번 달이랑 지난달 작업 시간을 비교해줘,21.7818,24,6,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_time_use,0.38,0.5
여행 갔을 때 평소보다 평균 걸음 수가 얼마나 늘었지?,17.8381,30,9,0,0,0,0,compare_stats,activity/health,1,3,0,1,1,1,0,0,0,0,0,analyze/compare,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_travel_activity,0.4,0.6
여행 갔을 때 평소보다 활동량이 얼마나 늘었지?,27.7023,30,9,0,0,0,0,compare_stats,activity/health,1,3,0,1,1,1,0,0,0,0,0,analyze/compare,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_travel_activity,0.4,0.6
여행 갔을 때 평소보다 이동 거리가 얼마나 늘었지?,22.2324,30,9,0,0,0,0,compare_stats,activity/health,1,3,0,1,1,1,0,0,0,0,0,analyze/compare,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_travel_activity,0.4,0.6
여행 갔을 때 평소보다 칼로리 소모가 얼마나 늘었지?,29.7746,30,9,0,0,0,0,compare_stats,activity/health,1,3,0,1,1,1,0,0,0,0,0,analyze/compare,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_travel_activity,0.4,0.6
지난달에 집에서 보낸 시간과 밖에서 보낸 시간 비교해줘,36.7562,30,8,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,analyze/compare,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_time_use,0.38,0.5
지난달에 근무 시간과 여가 시간 비교해줘,21.8848,22,6,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,analyze/compare,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_time_use,0.38,0.5
지난달과 이번달 취미생활하는데 쓴 시간 비교해줘,27.537,26,6,1,3,0,1,compare_stats,activity/health,1,2,0,0,1,1,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_time_use,0.38,0.5
지난달과 이번달에 가장 많이 먹은 음식 비교해줘,36.4351,26,7,1,3,0,1,compare_stats,activity/health,1,2,0,0,2,1,0,0,0,0,0,analyze/compare,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,compare_time_use,0.38,0.5
이번 주 요일 별 칼로리 소모량을 순서대로 알려줘,11.356,27,8,1,3,0,1,retrieve_aggregate_stats,activity/health,1,1,0,0,2,0,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,aggregate_activity_weekly,0.5,0.55
이번 주 날짜 별 칼로리 소모량을 순서대로 알려줘,20.8111,27,8,1,3,0,1,retrieve_aggregate_stats,activity/health,1,1,0,0,2,0,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,aggregate_activity_weekly,0.5,0.55
이번 주 시간 별 칼로리 소모량을 순서대로 알려줘,23.7308,27,8,1,3,0,1,retrieve_aggregate_stats,activity/health,1,1,0,0,2,0,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,aggregate_activity_weekly,0.5,0.55
이번 주 활동 별 칼로리 소모량을 순서대로 알려줘,32.4589,27,8,1,3,0,1,retrieve_aggregate_stats,activity/health,1,1,0,0,2,0,0,0,0,0,0,monitor/track,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,aggregate_activity_weekly,0.5,0.55
지난달 카드 결제 내역을 정리해서 가계부로 작성해줘,30.0569,28,7,1,3,0,1,generate_list,transaction/finance,1,2,0,0,3,0,0,0,0,0,0,monitor/track,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,aggregate_finance_ledger,0.62,0.55
지난달 관리비 내역을 정리해서 가계부로 작성해줘,19.4243,26,6,1,3,0,1,generate_list,transaction/finance,1,2,0,0,3,0,0,0,0,0,0,monitor/track,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,aggregate_finance_ledger,0.6,0.55
지난달 저축 금액 내역을 정리해서 가계부로 작성해줘,34.3083,28,7,1,3,0,1,generate_list,transaction/finance,1,2,0,0,3,0,0,0,0,0,0,monitor/track,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,aggregate_finance_ledger,0.63,0.55
지난달 용돈 내역을 정리해서 가계부로 작성해줘,26.1903,25,6,1,3,0,1,generate_list,transaction/finance,1,2,0,0,3,0,0,0,0,0,0,monitor/track,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,aggregate_finance_ledger,0.6,0.55
작년 이맘때쯤 자주 들었던 음악 리스트 만들어줘,18.1467,26,7,1,4,0,1,generate_list,media_history,2,3,0,0,2,0,0,0,0,0,0,entertain,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,list_personal_media,0.6,0.7
작년 이맘때쯤 자주 시청한 영상 리스트 만들어줘,32.5002,27,7,1,4,0,1,generate_list,media_history,2,3,0,0,2,0,0,0,0,0,0,entertain,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,list_personal_media,0.6,0.7
작년 이맘때쯤 자주 플레이한 게임 리스트 만들어줘,17.6907,28,7,1,4,0,1,generate_list,media_history,2,3,0,0,2,0,0,0,0,0,0,entertain,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,list_personal_media,0.6,0.7
작년 이맘때쯤 자주 읽은 책 리스트 만들어줘,20.6366,28,7,1,4,0,1,generate_list,media_history,2,3,0,0,2,0,0,0,0,0,0,entertain,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,list_personal_media,0.6,0.7
어제 친구들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.3406,33,9,1,2,0,2,summarize,communication/chat,1,1,0,0,3,0,1,0,0,1,0,analyze/compare,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,chat_summary,0.7,0.6
어제 가족들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,18.0877,33,9,1,2,0,2,summarize,communication/chat,1,1,0,0,3,0,1,0,0,1,0,analyze/compare,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,chat_summary,0.7,0.6
어제 팀원들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,24.9038,33,9,1,2,0,2,summarize,communication/chat,1,1,0,0,3,0,1,0,0,1,0,analyze/compare,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,chat_summary,0.7,0.6
어제 동료들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.806,33,9,1,2,0,2,summarize,communication/chat,1,1,0,0,3,0,1,0,0,1,0,analyze/compare,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,chat_summary,0.7,0.6
이번주 마트에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,22.965,39,11,1,3,1,1,generate_list,photo/video,1,0,0,0,3,0,0,0,0,0,0,shop/save_money,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,shopping_photo_list,0.55,0.6
이번주 다이소에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,35.0526,45,13,1,3,1,1,generate_list,photo/video,1,0,0,0,3,0,0,0,0,0,0,shop/save_money,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,shopping_photo_list_store_specific,0.55,0.6
이번주 올리브영에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.6875,52,15,1,3,1,1,generate_list,photo/video,1,0,0,0,3,0,0,0,0,0,0,shop/save_money,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,shopping_photo_list_store_specific,0.55,0.6
이번주 편의점에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.0415,54,15,1,3,1,1,generate_list,photo/video,1,0,0,0,3,0,0,0,0,0,0,shop/save_money,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,shopping_photo_list_store_specific,0.55,0.6
지난달에 정리한 강의노트를 한 장으로 요약 정리해줘,26.5597,38,9,1,3,0,1,summarize,text_note/doc,1,2,0,0,3,0,1,0,0,0,0,analyze/compare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,recall_notes_summary,0.65,0.5
지난달에 작성한 업무노트를 한 장으로 요약 정리해줘,32.4549,40,9,1,3,0,1,summarize,text_note/doc,1,2,0,0,3,0,1,0,0,0,0,analyze/compare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,recall_notes_summary,0.65,0.55
지난달에 녹음한 회의록을 한 장으로 요약 정리해줘,46.0703,40,8,1,3,0,1,summarize,text_note/doc,1,2,0,0,3,0,1,0,0,0,0,analyze/compare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,meeting_record_summary,0.7,0.55
지난달에 촬영한 메모를 한 장으로 요약 정리해줘,40.983,39,8,1,3,0,1,summarize,text_note/doc,1,2,0,0,3,0,1,0,0,0,0,analyze/compare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,notes_image_summary,0.65,0.55
스페인 여행에서 내가 갔던 곳 모두 정리해서 알려줘,27.994,30,8,0,0,0,0,generate_list,location/travel,2,3,0,1,2,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,recall_travel_places,0.6,0.7
여름휴가 동안 내가 갔던 곳 모두 정리해서 알려줘,23.1966,33,8,1,4,0,1,generate_list,location/travel,2,3,0,1,2,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,0,0,recall_travel_places,0.62,0.7
지난 주말에 내가 갔던 곳 모두 정리해서 알려줘,19.0671,34,9,1,3,0,2,generate_list,location/travel,2,1,0,1,2,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,recall_travel_places,0.58,0.7
가족 여행으로 내가 갔던 곳 모두 정리해서 알려줘,48.7953,35,9,0,0,0,0,generate_list,location/travel,2,3,0,1,2,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,recall_travel_places,0.62,0.7
가족 단체 사진만 모두 모아서 영상으로 만들어줘,81.7913,36,9,0,0,0,0,generate_list,photo/video,1,3,0,0,3,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,generate_family_video,0.55,0.6
반려동물 사진만 모두 모아서 영상으로 만들어줘,50.5136,33,8,0,0,0,0,generate_list,photo/video,1,3,0,0,3,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,generate_personal_video,0.55,0.6
내 증명 사진만 모두 모아서 영상으로 만들어줘,66.8085,30,7,0,0,0,0,generate_list,photo/video,2,0,0,0,3,0,0,0,0,0,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,generate_personal_video,0.55,0.7
친구들과 사진만 모두 모아서 영상으로 만들어줘,91.1981,36,9,0,0,0,0,generate_list,photo/video,1,3,0,0,3,0,0,0,0,1,0,remember/recall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,generate_social_video,0.55,0.6
만보 정도 걸을 수 있는 한강 산책 코스 추천해줘,14.7629,27,9,0,0,0,0,recommend,location/travel,1,0,1,1,2,0,0,1,0,0,0,plan/optimize,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,recommend_travel,0.4,0.5
만보 정도 걸을 수 있는 동네 산책 코스 추천해줘,14.4268,27,9,0,0,0,0,recommend,location/travel,1,0,1,1,2,0,0,1,0,0,0,plan/optimize,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,recommend_travel,0.4,0.5
만보 정도 걸을 수 있는 공원 산책로 추천해줘,18.6808,25,8,0,0,0,0,recommend,location/travel,1,0,1,1,2,0,0,1,0,0,0,plan/optimize,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,recommend_travel,0.4,0.5
만보 정도 걸을 수 있는 해변 산책로 추천해줘,17.9301,25,8,0,0,0,0,recommend,location/travel,1,0,1,1,2,0,0,1,0,0,0,plan/optimize,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,recommend_travel,0.4,0.5
