queries,MAL,TXT_char_count,TXT_char_count_no_spaces,TXT_word_count,TXT_avg_word_length,TXT_sentence_count,TXT_punctuation_count,TXT_special_char_count,TXT_text_density,LING_query_type,LING_tense,LING_has_modality,LING_has_negation,LING_has_conditional,LING_clause_complexity,LING_verb_noun_ratio,SEM_domain_primary,SEM_domain_secondary,SEM_entity_person_count,SEM_entity_time_count,SEM_entity_object_count,SEM_abstractness_score,SEM_specificity_score,SEM_ambiguity_score,TASK_operation_count,TASK_needs_filtering,TASK_needs_aggregation,TASK_needs_sorting,TASK_modality_types,TASK_external_dependency,TASK_expected_result_count,TEMP_reference_type,TEMP_range_specificity,TEMP_recency_requirement,TEMP_realtime_need,TEMP_location_context_need,INTENT_urgency_level,INTENT_consequence_severity,INTENT_priority_indicator,INTENT_emotional_tone,INTENT_satisfaction_criticality,INFO_density_score,INFO_constraint_count,INFO_precision_requirement,INFO_recall_requirement,COMP_search_space_size,COMP_index_complexity,COMP_join_operations,COMP_reasoning_depth
이번 달에 배달 음식을 몇 번 먹었지?,12.1014,25,23,6,3.83,1,1,1,3.83,question,past,0,0,0,1,0.8,food_dining,consumption,0,1,1,3,6,2,1,1,1,0,1,2,3,absolute,3,1,0,0,1,1,1,neutral,4,4,7,8,3,2,1,2.0,
이번 달에 외식을 몇 번 먹었지?,25.2473,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,1,0.8,food_dining,consumption,0,1,1,3,6,2,1,1,1,0,1,2,3,absolute,3,1,0,0,1,1,1,neutral,4,4,7,8,3,2,1,2.0,
이번 달에 카페를 몇 번 먹었지?,17.5864,23,21,6,3.5,1,1,1,3.5,question,past,0,0,0,1,0.8,food_dining,consumption,0,1,1,3,6,2,1,1,1,0,1,2,3,absolute,3,1,0,0,1,1,1,neutral,4,4,7,8,3,2,1,2.0,
이번 달에 편의점에서 몇 번 먹었지?,20.9935,26,24,6,4.0,1,1,1,4.0,question,past,0,0,0,1,0.8,food_dining,consumption,0,1,1,3,6,2,1,1,1,0,1,2,3,absolute,3,1,0,0,1,1,1,neutral,4,4,7,8,3,2,1,2.0,
지난달과 비교했을 때 이번 달 운동량이 얼마나 늘었지?,23.8735,33,30,8,3.75,1,1,1,3.75,question,past,0,0,1,2,0.8,health_fitness,exercise,0,2,1,4,7,4,2,1,1,0,1,2,3,absolute,3,1,0,0,2,2,2,neutral,6,5,8,9,3,2,3,3.0,
지난달과 비교했을 때 이번 달 걸음 수가 얼마나 늘었지?,12.2085,35,32,8,4.0,1,1,1,4.0,question,past,0,0,1,2,0.8,health_fitness,exercise,0,2,1,4,7,4,2,1,1,0,1,2,3,absolute,3,1,0,0,2,2,2,neutral,6,5,8,9,3,2,3,3.0,
지난달과 비교했을 때 이번 달 칼로리 소모가 얼마나 늘었지?,14.8955,38,35,8,4.38,1,1,1,4.38,question,past,0,0,1,2,0.8,health_fitness,exercise,0,2,1,4,7,4,2,1,1,0,1,2,3,absolute,3,1,0,0,2,2,2,neutral,6,5,8,9,3,2,3,3.0,
지난달과 비교했을 때 이번 달 활동 시간이 얼마나 늘었지?,24.6488,38,35,8,4.38,1,1,1,4.38,question,past,0,0,1,2,0.8,health_fitness,exercise,0,2,1,4,7,4,2,1,1,0,1,2,3,absolute,3,1,0,0,2,2,2,neutral,6,5,8,9,3,2,3,3.0,
작년과 비교했을 때 올해 카드 결제액이 얼마나 늘었지?,25.3443,34,31,8,3.875,1,1,0,31.0,interrogative,past,0,0,1,2,0.8,finance,none,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,8,4,3,2,3.0,
작년과 비교했을 때 올해 여가 비용이 얼마나 늘었지?,20.8705,34,31,8,3.875,1,1,0,31.0,interrogative,past,0,0,1,2,0.8,lifestyle,finance,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,2,2,neutral,3,7,3,8,4,3,2,3.0,
작년과 비교했을 때 올해 고정 지출이 얼마나 늘었지?,23.7459,35,32,8,4.0,1,1,0,32.0,interrogative,past,0,0,1,2,0.8,finance,none,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,8,4,3,2,3.0,
작년과 비교했을 때 올해 생활비가 얼마나 늘었지?,24.2751,35,32,8,4.0,1,1,0,32.0,interrogative,past,0,0,1,2,0.8,finance,lifestyle,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,8,4,3,2,3.0,
올해 가장 많이 들었던 음악 순서대로 알려줘,25.2008,26,24,7,3.429,1,0,0,24.0,imperative,present,0,0,0,2,0.7,media,none,0,1,1,3,7,2,2,1,1,1,1,2,2,relative,2,1,0,0,1,1,2,neutral,3,6,2,7,3,2,1,3.0,
올해 가장 많이 시청했던 유튜브 채널 순서대로 알려줘,20.1194,32,29,8,3.625,1,0,0,29.0,imperative,present,0,0,0,2,0.7,media,online,0,1,2,3,7,2,2,1,1,1,1,2,2,relative,2,1,0,0,1,1,2,neutral,3,7,2,7,3,2,1,3.0,
올해 가장 많이 플레이한 게임 순서대로 알려줘,33.9973,29,26,7,3.714,1,0,0,26.0,imperative,present,0,0,0,2,0.7,media,gaming,0,1,1,3,7,2,2,1,1,1,1,2,2,relative,2,1,0,0,1,1,2,neutral,3,7,2,7,3,2,1,3.0,
올해 가장 많이 본 드라마 순서대로 알려줘,12.8249,27,24,7,3.429,1,0,0,24.0,imperative,present,0,0,0,2,0.7,media,none,0,1,1,3,7,2,2,1,1,1,1,2,2,relative,2,1,0,0,1,1,2,neutral,3,6,2,7,3,2,1,3.0,
지난달에 성진이랑 통화한 횟수 이번달과 비교해줘,19.2887,32,29,8,3.625,1,0,0,29.0,imperative,past,0,0,1,2,0.8,communication,none,1,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
지난달에 성진이랑 메시지 교환 횟수 이번달과 비교해줘,21.6109,36,33,8,4.125,1,0,0,33.0,imperative,past,0,0,1,2,0.8,communication,none,1,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
지난달에 성진이랑 만난 횟수 이번달과 비교해줘,20.2698,32,29,8,3.625,1,0,0,29.0,imperative,past,0,0,1,2,0.8,lifestyle,communication,1,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
지난달에 성진이랑 영상통화 횟수 이번달과 비교해줘,14.0343,35,32,8,4.0,1,0,0,32.0,imperative,past,0,0,1,2,0.8,communication,media,1,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
온라인 쇼핑과 오프라인 쇼핑 결제 금액 비교해줘,32.1986,30,27,7,3.857,1,0,0,27.0,imperative,present,0,0,0,2,0.8,finance,shopping,0,0,2,2,7,3,2,1,1,0,1,2,1,relative,1,1,0,0,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
카드 결제와 현금 결제 금액 비교해줘,26.7424,24,21,6,3.5,1,0,0,21.0,imperative,present,0,0,0,2,0.8,finance,none,0,0,2,2,7,3,2,1,1,0,1,2,1,relative,1,1,0,0,2,2,2,neutral,3,6,3,6,3,2,2,3.0,
이번 달과 지난달 결제 금액 비교해줘,21.2016,25,22,7,3.143,1,0,0,22.0,imperative,past,0,0,1,2,0.8,finance,none,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,6,3,2,2,3.0,
평일과 주말 결제 금액 비교해줘,30.0478,22,19,6,3.167,1,0,0,19.0,imperative,present,0,0,0,2,0.8,finance,lifestyle,0,0,1,2,7,3,2,1,1,0,1,2,1,relative,1,1,0,0,2,2,2,neutral,3,6,3,6,3,2,2,3.0,
이번 달이랑 지난달 근무 시간을 비교해줘,31.5749,27,24,7,3.429,1,0,0,24.0,imperative,past,0,0,1,2,0.8,productivity,work,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,6,3,2,2,3.0,
이번 달이랑 지난달 회의 시간을 비교해줘,17.9169,27,24,7,3.429,1,0,0,24.0,imperative,past,0,0,1,2,0.8,productivity,work,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,6,3,2,2,3.0,
이번 달이랑 지난달 학습 시간을 비교해줘,21.2882,27,24,7,3.429,1,0,0,24.0,imperative,past,0,0,1,2,0.8,productivity,education,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,6,3,2,2,3.0,
이번 달이랑 지난달 작업 시간을 비교해줘,21.7818,27,24,7,3.429,1,0,0,24.0,imperative,past,0,0,1,2,0.8,productivity,work,0,2,1,2,8,2,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,6,3,2,2,3.0,
여행 갔을 때 평소보다 평균 걸음 수가 얼마나 늘었지?,17.8381,34,31,9,3.444,1,1,0,31.0,interrogative,past,0,0,1,2,0.8,health,lifestyle,0,1,1,2,7,3,2,1,1,0,1,2,1,relative,2,1,0,1,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
여행 갔을 때 평소보다 활동량이 얼마나 늘었지?,27.7023,31,28,8,3.5,1,1,0,28.0,interrogative,past,0,0,1,2,0.8,health,lifestyle,0,1,1,2,7,3,2,1,1,0,1,2,1,relative,2,1,0,1,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
여행 갔을 때 평소보다 이동 거리가 얼마나 늘었지?,22.2324,34,31,9,3.444,1,1,0,31.0,interrogative,past,0,0,1,2,0.8,health,lifestyle,0,1,1,2,7,3,2,1,1,0,1,2,1,relative,2,1,0,1,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
여행 갔을 때 평소보다 칼로리 소모가 얼마나 늘었지?,29.7746,36,33,9,3.667,1,1,0,33.0,interrogative,past,0,0,1,2,0.8,health,lifestyle,0,1,1,2,7,3,2,1,1,0,1,2,1,relative,2,1,0,1,2,2,2,neutral,3,7,3,7,3,2,2,3.0,
지난달에 집에서 보낸 시간과 밖에서 보낸 시간 비교해줘,36.7562,37,34,10,3.4,1,0,0,34.0,imperative,past,0,0,0,3,0.8,lifestyle,none,0,1,2,2,8,3,2,1,1,0,1,2,1,relative,2,1,0,1,2,2,2,neutral,3,8,3,7,3,2,2,3.0,
지난달에 근무 시간과 여가 시간 비교해줘,21.8848,27,24,7,3.429,1,0,0,24.0,imperative,past,0,0,0,2,0.8,productivity,lifestyle,0,1,2,2,7,3,2,1,1,0,1,2,1,relative,2,1,0,0,2,3,3,neutral,3,7,3,6,3,2,2,3.0,
지난달과 이번달 취미생활하는데 쓴 시간 비교해줘,27.537,32,29,8,3.625,1,0,0,29.0,imperative,past,0,0,1,2,0.8,lifestyle,none,0,2,1,2,8,3,2,1,1,0,1,2,1,relative,2,1,0,0,2,2,2,neutral,3,7,3,6,3,2,2,3.0,
지난달과 이번달에 가장 많이 먹은 음식 비교해줘,36.4351,32,29,8,3.625,1,0,0,29.0,imperative,past,0,0,1,2,0.8,lifestyle,food,0,2,1,2,8,3,2,1,1,0,1,2,1,relative,2,1,0,0,2,2,2,neutral,3,7,3,6,3,2,2,3.0,
이번 주 요일 별 칼로리 소모량을 순서대로 알려줘,11.356,32,29,9,3.222,1,0,0,29.0,imperative,present,0,0,0,2,0.7,health,none,0,1,1,2,7,2,2,1,1,1,1,2,2,relative,2,1,0,0,1,2,2,neutral,3,7,3,7,3,2,1,3.0,
이번 주 날짜 별 칼로리 소모량을 순서대로 알려줘,20.8111,33,30,9,3.333,1,0,0,30.0,imperative,present,0,0,0,2,0.7,health,none,0,1,1,2,7,2,2,1,1,1,1,2,2,relative,2,1,0,0,1,2,2,neutral,3,7,3,7,3,2,1,3.0,
이번 주 시간 별 칼로리 소모량을 순서대로 알려줘,23.7308,32,29,9,3.222,1,0,0,29.0,imperative,present,0,0,0,2,0.7,health,none,0,1,1,2,7,2,2,1,1,1,1,2,2,relative,2,1,0,0,1,2,2,neutral,3,7,3,7,3,2,1,3.0,
이번 주 활동 별 칼로리 소모량을 순서대로 알려줘,32.4589,33,30,9,3.333,1,0,0,30.0,imperative,present,0,0,0,2,0.7,health,lifestyle,0,1,1,2,7,2,2,1,1,1,1,2,2,relative,2,1,0,0,1,2,2,neutral,3,7,3,7,3,2,1,3.0,
지난달 카드 결제 내역을 정리해서 가계부로 작성해줘,30.0569,33,30,9,3.333,1,0,0,30.0,imperative,past,0,0,0,2,0.7,finance,productivity,0,1,2,3,8,3,2,1,1,0,3,2,1,relative,2,1,0,0,2,3,3,neutral,4,7,4,6,3,3,2,4.0,
지난달 관리비 내역을 정리해서 가계부로 작성해줘,19.4243,32,29,8,3.625,1,0,0,29.0,imperative,past,0,0,0,2,0.7,finance,home,0,1,2,3,8,3,2,1,1,0,3,2,1,relative,2,1,0,0,2,3,3,neutral,4,7,4,6,3,3,2,4.0,
지난달 저축 금액 내역을 정리해서 가계부로 작성해줘,34.3083,34,31,8,3.875,1,0,0,31.0,imperative,past,0,0,0,2,0.7,finance,none,0,1,2,3,8,3,2,1,1,0,3,2,1,relative,2,1,0,0,2,3,3,neutral,4,7,4,6,3,3,2,4.0,
지난달 용돈 내역을 정리해서 가계부로 작성해줘,26.1903,33,30,8,3.75,1,0,0,30.0,imperative,past,0,0,0,2,0.7,finance,none,0,1,2,3,8,3,2,1,1,0,3,2,1,relative,2,1,0,0,2,3,3,neutral,4,7,4,6,3,3,2,4.0,
작년 이맘때쯤 자주 들었던 음악 리스트 만들어줘,18.1467,30,27,8,3.375,1,0,0,27.0,imperative,past,0,0,0,2,0.7,media,none,0,1,1,3,7,2,1,1,0,1,2,2,relative,1,0,0,0,1,1,2,neutral,3,6,2,7,3,2,1,3,,
작년 이맘때쯤 자주 시청한 영상 리스트 만들어줘,32.5002,32,29,8,3.625,1,0,0,29.0,imperative,past,0,0,0,2,0.7,media,online,0,1,1,3,7,2,1,1,0,1,2,2,relative,1,0,0,0,1,1,2,neutral,3,6,2,7,3,2,1,3,,
작년 이맘때쯤 자주 플레이한 게임 리스트 만들어줘,17.6907,33,30,8,3.75,1,0,0,30.0,imperative,past,0,0,0,2,0.7,media,gaming,0,1,1,3,7,2,1,1,0,1,2,2,relative,1,0,0,0,1,1,2,neutral,3,6,2,7,3,2,1,3,,
작년 이맘때쯤 자주 읽은 책 리스트 만들어줘,20.6366,31,28,8,3.5,1,0,0,28.0,imperative,past,0,0,0,2,0.7,media,education,0,1,1,3,7,2,1,1,0,1,2,2,relative,1,0,0,0,1,1,2,neutral,3,6,2,7,3,2,1,3,,
어제 친구들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.3406,39,36,10,3.6,1,0,0,36.0,imperative,past,0,0,0,3,0.8,communication,social,0,1,1,4,8,3,2,1,1,0,3,2,1,relative,3,2,0,0,2,3,3,neutral,4,8,4,7,3,3,2,4.0,
어제 가족들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,18.0877,39,36,10,3.6,1,0,0,36.0,imperative,past,0,0,0,3,0.8,communication,social,0,1,1,4,8,3,2,1,1,0,3,2,1,relative,3,2,0,0,2,3,3,neutral,4,8,4,7,3,3,2,4.0,
어제 팀원들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,24.9038,39,36,10,3.6,1,0,0,36.0,imperative,past,0,0,0,3,0.8,communication,work,0,1,1,4,8,3,2,1,1,0,3,2,1,relative,3,2,0,0,2,3,3,neutral,4,8,4,7,3,3,2,4.0,
어제 동료들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.806,39,36,10,3.6,1,0,0,36.0,imperative,past,0,0,0,3,0.8,communication,work,0,1,1,4,8,3,2,1,1,0,3,2,1,relative,3,2,0,0,2,3,3,neutral,4,8,4,7,3,3,2,4.0,
이번주 마트에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,22.965,45,40,11,3.636,1,0,0,40.0,imperative,present,0,0,0,3,0.8,shopping,productivity,0,1,1,3,7,3,2,1,1,0,3,2,1,relative,2,1,0,1,2,2,2,neutral,4,8,4,7,3,3,2,4.0,
이번주 다이소에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,35.0526,47,42,11,3.818,1,0,0,42.0,imperative,present,0,0,0,3,0.8,shopping,productivity,0,1,1,3,7,3,2,1,1,0,3,2,1,relative,2,1,0,1,2,2,2,neutral,4,8,4,7,3,3,2,4.0,
이번주 올리브영에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.6875,49,44,11,4.0,1,0,0,44.0,imperative,present,0,0,0,3,0.8,shopping,productivity,0,1,1,3,7,3,2,1,1,0,3,2,1,relative,2,1,0,1,2,2,2,neutral,4,8,4,7,3,3,2,4.0,
이번주 편의점에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.0415,49,44,11,4.0,1,0,0,44.0,imperative,present,0,0,0,3,0.8,shopping,productivity,0,1,1,3,7,3,2,1,1,0,3,2,1,relative,2,1,0,1,2,2,2,neutral,4,8,4,7,3,3,2,4.0,
지난달에 정리한 강의노트를 한 장으로 요약 정리해줘,26.5597,33,30,9,3.333,1,0,0,30.0,imperative,past,0,0,0,2,0.7,education,productivity,0,1,1,4,8,2,2,1,1,0,3,2,1,relative,2,1,0,0,2,3,3,neutral,4,7,4,7,3,3,2,4.0,
지난달에 작성한 업무노트를 한 장으로 요약 정리해줘,32.4549,33,30,9,3.333,1,0,0,30.0,imperative,past,0,0,0,2,0.7,productivity,work,0,1,1,4,8,2,2,1,1,0,3,2,1,relative,2,1,0,0,2,3,3,neutral,4,7,4,7,3,3,2,4.0,
지난달에 녹음한 회의록을 한 장으로 요약 정리해줘,46.0703,28,24,7,3.43,1,0,0,7.0,interrogative,past,0,0,0,2,0.8,media_summary,work,0,1,1,6,7,3,2,1,1,0,1,1,1,absolute,2,1,0,0,1,2,3,planning,7,7,2,7,8,2,2,2.0,
지난달에 촬영한 메모를 한 장으로 요약 정리해줘,40.983,27,23,7,3.29,1,0,0,7.0,interrogative,past,0,0,0,2,0.8,media_summary,work,0,1,1,6,7,3,2,1,1,0,1,1,1,absolute,2,1,0,0,1,2,3,planning,7,7,2,7,8,2,2,2.0,
스페인 여행에서 내가 갔던 곳 모두 정리해서 알려줘,27.994,30,26,8,3.25,1,0,0,8.0,interrogative,past,0,0,0,2,0.9,travel,none,1,1,1,4,6,4,2,1,1,0,1,1,2,absolute,2,1,0,0,2,2,3,planning,6,5,3,8,7,2,1,2.0,
여름휴가 동안 내가 갔던 곳 모두 정리해서 알려줘,23.1966,29,25,8,3.12,1,0,0,8.0,interrogative,past,0,0,0,2,0.9,travel,none,1,1,1,4,5,4,2,1,1,0,1,1,2,absolute,1,1,0,0,2,2,3,planning,6,5,3,8,7,2,1,2.0,
지난 주말에 내가 갔던 곳 모두 정리해서 알려줘,19.0671,27,23,8,2.88,1,0,0,8.0,interrogative,past,0,0,0,2,0.9,travel,none,1,1,1,4,6,3,2,1,1,0,1,1,2,absolute,3,2,0,0,3,2,3,planning,6,5,3,8,7,2,1,2.0,
가족 여행으로 내가 갔던 곳 모두 정리해서 알려줘,48.7953,28,24,8,3.0,1,0,0,8.0,interrogative,past,0,0,0,2,0.9,travel,family,1,0,1,4,5,3,2,1,1,0,1,1,2,none,0,0,0,0,2,2,3,planning,6,5,3,8,7,2,1,2.0,
가족 단체 사진만 모두 모아서 영상으로 만들어줘,81.7913,28,24,8,3.0,1,0,0,8.0,interrogative,past,0,0,0,2,0.8,media_video,family,1,0,1,3,6,3,2,1,1,0,2,2,2,none,0,0,0,0,1,2,3,neutral,7,6,3,8,8,3,2,2.0,
반려동물 사진만 모두 모아서 영상으로 만들어줘,50.5136,27,23,8,2.88,1,0,0,8.0,interrogative,past,0,0,0,2,0.8,media_video,pet,1,0,1,3,6,3,2,1,1,0,2,2,2,none,0,0,0,0,1,2,3,neutral,7,6,3,8,8,3,2,2.0,
내 증명 사진만 모두 모아서 영상으로 만들어줘,66.8085,25,21,7,3.0,1,0,0,7.0,interrogative,past,0,0,0,2,0.8,media_video,none,1,0,1,3,7,3,2,1,1,0,2,2,2,none,0,0,0,0,1,2,3,neutral,7,6,3,8,8,3,2,2.0,
친구들과 사진만 모두 모아서 영상으로 만들어줘,91.1981,27,23,8,2.88,1,0,0,8.0,interrogative,past,0,0,0,2,0.8,media_video,friends,1,0,1,3,6,3,2,1,1,0,2,2,2,none,0,0,0,0,1,2,3,neutral,7,6,3,8,8,3,2,2.0,
만보 정도 걸을 수 있는 한강 산책 코스 추천해줘,14.7629,29,25,8,3.12,1,0,0,8.0,interrogative,future,1,0,0,2,0.9,fitness,location,0,0,1,3,7,3,2,1,0,1,1,2,2,none,0,0,0,1,2,3,2,planning,6,5,6,5,6,2,1,2.0,
만보 정도 걸을 수 있는 동네 산책 코스 추천해줘,14.4268,29,25,8,3.12,1,0,0,8.0,interrogative,future,1,0,0,2,0.9,fitness,location,0,0,1,3,7,3,2,1,0,1,1,2,2,none,0,0,0,1,2,3,2,planning,6,5,6,5,6,2,1,2.0,
만보 정도 걸을 수 있는 공원 산책로 추천해줘,18.6808,29,25,8,3.12,1,0,0,8.0,interrogative,future,1,0,0,2,0.9,fitness,location,0,0,1,3,7,3,2,1,0,1,1,2,2,none,0,0,0,1,2,3,2,planning,6,5,6,5,6,2,1,2.0,
만보 정도 걸을 수 있는 해변 산책로 추천해줘,17.9301,29,25,8,3.12,1,0,0,8.0,interrogative,future,1,0,0,2,0.9,fitness,location,0,0,1,3,7,3,2,1,0,1,1,2,2,none,0,0,0,1,2,3,2,planning,6,5,6,5,6,2,1,2.0,
10만원 정도 가격대로 갈 만한 집 근처 술집 찾아줘,14.7395,32,27,9,3.0,1,0,0,9.0,interrogative,future,0,0,0,2,0.8,food_drink,finance,0,0,1,3,8,3,2,1,0,1,1,2,2,relative,2,2,0,1,3,3,3,planning,7,6,8,4,7,2,1,2.0,
10만원 정도 가격대로 갈 만한 집 근처 식당 찾아줘,24.9278,32,27,9,3.0,1,0,0,9.0,interrogative,future,0,0,0,2,0.8,food_drink,finance,0,0,1,3,8,3,2,1,0,1,1,2,2,relative,2,2,0,1,3,3,3,planning,7,6,8,4,7,2,1,2.0,
10만원 정도 가격대로 갈 만한 집 근처 카페 찾아줘,16.5807,31,26,9,2.89,1,0,0,9.0,interrogative,future,0,0,0,2,0.8,food_drink,finance,0,0,1,3,8,3,2,1,0,1,1,2,2,relative,2,2,0,1,3,3,3,planning,7,6,8,4,7,2,1,2.0,
10만원 정도 가격대로 갈 만한 집 근처 펜션 찾아줘,24.5787,32,27,9,3.0,1,0,0,9.0,interrogative,future,0,0,0,2,0.8,travel,finance,0,0,1,3,8,3,2,1,0,1,1,2,2,relative,2,2,0,1,3,3,3,planning,7,6,8,4,7,2,1,2.0,
블랙핑크 '뛰어' 랑 비슷한 느낌의 노래 추천해줘,12.4405,32,26,9,2.89,1,2,2,9.0,interrogative,none,0,0,0,2,0.8,media_music,entertainment,1,0,1,6,6,6,2,0,0,1,1,2,2,none,0,0,0,0,2,2,3,neutral,6,5,5,4,6,2,1,3.0,
영화 '귀멸의 칼날: 무한성 편'이랑 비슷한 느낌의 영화 추천해줘,12.1376,40,32,10,3.2,1,4,4,10.0,interrogative,none,0,0,0,2,0.8,media_movie,entertainment,1,0,1,6,6,6,2,0,0,1,1,2,2,none,0,0,0,0,2,2,3,neutral,6,5,5,4,6,2,1,3.0,
드라마 '오징어게임'이랑 비슷한 느낌의 드라마 추천해줘,26.245,34,28,9,3.11,1,2,2,9.0,interrogative,none,0,0,0,2,0.8,media_tv,entertainment,1,0,1,6,6,6,2,0,0,1,1,2,2,none,0,0,0,0,2,2,3,neutral,6,5,5,4,6,2,1,3.0,
책 '스토너'랑 비슷한 느낌의 책 추천해줘,24.9037,28,22,8,2.75,1,2,2,8.0,interrogative,none,0,0,0,2,0.8,media_book,entertainment,1,0,1,6,6,6,2,0,0,1,1,2,2,none,0,0,0,0,2,2,3,neutral,6,5,5,4,6,2,1,3.0,
지난번 두산이가 말했던 식당이랑 비슷한 곳 찾아줘,26.4361,30,26,9,2.89,1,0,0,9.0,interrogative,past,0,0,0,2,0.8,food_drink,friends,1,1,1,5,5,7,2,0,0,1,1,2,2,absolute,2,1,0,0,2,3,3,planning,6,4,6,4,6,2,2,3.0,
지난번 두산이가 말했던 카페랑 비슷한 곳 찾아줘,24.0292,29,25,9,2.78,1,0,0,9.0,interrogative,past,0,0,0,2,0.8,food_drink,friends,1,1,1,5,5,7,2,0,0,1,1,2,2,absolute,2,1,0,0,2,3,3,planning,6,4,6,4,6,2,2,3.0,
지난번 두산이가 말했던 나들이 장소랑 비슷한 곳 찾아줘,19.9965,33,29,10,2.9,1,0,0,10.0,interrogative,past,0,0,0,2,0.8,travel,friends,1,1,1,5,5,7,2,0,0,1,1,2,2,absolute,2,1,0,0,2,3,3,planning,6,4,6,4,6,2,2,3.0,
지난번 두산이가 말했던 여행지랑 비슷한 곳 찾아줘,21.7256,31,27,9,3.0,1,0,0,9.0,interrogative,past,0,0,0,2,0.8,travel,friends,1,1,1,5,5,7,2,0,0,1,1,2,2,absolute,2,1,0,0,2,3,3,planning,6,4,6,4,6,2,2,3.0,
이 사진에 있는 신발이랑 비슷한 디자인 찾아줘,21.4302,27,23,8,2.88,1,0,0,8.0,interrogative,past,0,0,0,2,0.8,shopping,none,0,0,1,3,7,6,2,1,0,1,1,2,2,none,0,0,0,0,2,2,3,neutral,6,5,7,4,7,3,2,3.0,
이 사진에 있는 티셔츠랑 비슷한 디자인 찾아줘,23.3894,28,24,8,3.0,1,0,0,8.0,interrogative,past,0,0,0,2,0.8,shopping,none,0,0,1,3,7,6,2,1,0,1,1,2,2,none,0,0,0,0,2,2,3,neutral,6,5,7,4,7,3,2,3.0,
이 사진에 있는 가구랑 비슷한 디자인 찾아줘,9.9031,27,23,8,2.88,1,0,0,8.0,interrogative,past,0,0,0,2,0.8,shopping,home,0,0,1,3,7,6,2,1,0,1,1,2,2,none,0,0,0,0,2,2,3,neutral,6,5,7,4,7,3,2,3.0,
이 사진에 있는 액세서리랑 비슷한 디자인 찾아줘,34.4119,30,26,9,2.89,1,0,0,9.0,interrogative,past,0,0,0,2,0.8,shopping,none,0,0,1,3,7,6,2,1,0,1,1,2,2,none,0,0,0,0,2,2,3,neutral,6,5,7,4,7,3,2,3.0,
이 노트에 있는 내용과 관련된 유튜브 찾아줘,32.3092,27,23,8,2.88,1,0,0,8.0,interrogative,past,0,0,0,2,0.9,media_search,work,0,0,1,6,6,5,2,1,0,1,1,2,2,none,0,0,0,0,2,2,3,planning,7,4,7,6,7,3,2,3.0,
이 논문에 있는 내용과 관련된 강의 영상 찾아줘,39.9892,30,26,9,2.89,1,0,0,9.0,interrogative,past,0,0,0,2,0.9,media_search,education,0,0,1,7,7,5,2,1,0,1,1,2,2,none,0,0,0,0,2,2,3,planning,8,4,8,6,7,3,2,3.0,
이 회의록에 있는 내용과 관련된 뉴스 찾아줘,19.6215,27,23,8,2.88,1,0,0,8.0,interrogative,past,0,0,0,2,0.9,media_search,work,0,0,1,6,6,5,2,1,0,1,1,2,2,none,0,0,0,0,2,2,3,planning,7,4,7,6,7,3,2,3.0,
이 메모에 있는 내용과 관련된 자료 찾아줘,24.0666,26,22,8,2.75,1,0,0,8.0,interrogative,past,0,0,0,2,0.9,media_search,work,0,0,1,6,6,5,2,1,0,1,1,2,2,none,0,0,0,0,2,2,3,planning,7,4,7,6,7,3,2,3.0,
