queries,MAL,QL_chars,QL_words,task_category,modality_type,temporal_scope_level,urgency_level,personalization_depth,requires_aggregation,requires_generation,requires_historical_search,output_cardinality_expectation,stakes_importance_level,social_context_present,device_context_implicit,comparison_task,list_ordering_required,media_transformation,calendar_or_schedule_related,finance_or_spending_related,health_fitness_related,shopping_or_commerce_related,entertainment_media_related,requires_external_like_search,multi_source_integration,contains_explicit_time_budget,time_reference_recency,explicit_counting_or_frequency,explicit_comparison_target_num,question_specificity_level,output_format_structured,output_format_media,named_person_count,contains_location_context,contains_goal_or_target,contains_discount_or_savings_focus,contains_emotional_or_preference_inference,historical_span_complexity,contains_relative_change_request,context_now_or_here,contains_family_or_important_relationship,media_volume_implied,analysis_vs_lookup_balance
작년과 비교했을 때 올해 생활비가 얼마나 늘었지?,24.2751,36,8,compare_stats,finance/transactions,4,2,2,1,0,1,1,3,0,finance_context,1,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,12,1,0,0,1,3
올해 가장 많이 들었던 음악 순서대로 알려줘,25.2008,20,7,aggregate_stats,audio/music,4,2,2,1,0,1,3,1,0,entertainment_context,0,1,0,0,0,0,0,1,0,0,0,4,0,1,3,1,0,0,0,0,0,1,12,0,0,0,3,3
올해 가장 많이 시청했던 유튜브 채널 순서대로 알려줘,20.1194,27,7,aggregate_stats,entertainment_media,4,2,2,1,0,1,3,1,0,entertainment_context,0,1,0,0,0,0,0,1,0,0,0,4,0,1,3,1,0,0,0,0,0,1,12,0,0,0,3,3
올해 가장 많이 플레이한 게임 순서대로 알려줘,33.9973,22,7,aggregate_stats,entertainment_media,4,2,2,1,0,1,3,1,0,entertainment_context,0,1,0,0,0,0,0,1,0,0,0,4,0,1,3,1,0,0,0,0,0,1,12,0,0,0,3,3
올해 가장 많이 본 드라마 순서대로 알려줘,12.8249,22,7,aggregate_stats,entertainment_media,4,2,2,1,0,1,3,1,0,entertainment_context,0,1,0,0,0,0,0,1,0,0,0,4,0,1,3,1,0,0,0,0,0,1,12,0,0,0,3,3
지난달에 성진이랑 통화한 횟수 이번달과 비교해줘,19.2887,29,7,compare_stats,messaging/chat,3,2,2,1,0,1,1,2,1,home_planning,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,1,1,0,0,1,3
지난달에 성진이랑 메시지 교환 횟수 이번달과 비교해줘,21.6109,37,8,compare_stats,messaging/chat,3,2,2,1,0,1,1,2,1,home_planning,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,1,1,0,0,1,3
지난달에 성진이랑 만난 횟수 이번달과 비교해줘,20.2698,33,8,compare_stats,none/implicit,3,2,2,1,0,1,1,2,1,home_planning,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,1,1,0,0,1,3
지난달에 성진이랑 영상통화 횟수 이번달과 비교해줘,14.0343,36,8,compare_stats,messaging/chat,3,2,2,1,0,1,1,2,1,home_planning,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,1,1,0,0,1,3
온라인 쇼핑과 오프라인 쇼핑 결제 금액 비교해줘,32.1986,29,6,compare_stats,finance/transactions,3,2,2,1,0,1,2,3,0,shopping_context,1,0,0,0,1,0,1,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,6,1,0,0,2,3
카드 결제와 현금 결제 금액 비교해줘,26.7424,22,6,compare_stats,finance/transactions,3,2,2,1,0,1,2,3,0,finance_context,1,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,6,1,0,0,2,3
이번 달과 지난달 결제 금액 비교해줘,21.2016,21,5,compare_stats,finance/transactions,3,2,2,1,0,1,1,3,0,finance_context,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,0,1,3
평일과 주말 결제 금액 비교해줘,30.0478,20,5,compare_stats,finance/transactions,3,2,2,1,0,1,2,3,0,finance_context,1,0,0,0,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,6,1,0,0,2,3
이번 달이랑 지난달 근무 시간을 비교해줘,31.5749,26,6,compare_stats,calendar/schedule,3,2,2,1,0,1,1,2,0,work/productivity,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,3
이번 달이랑 지난달 회의 시간을 비교해줘,17.9169,26,6,compare_stats,calendar/schedule,3,2,2,1,0,1,1,2,0,work/productivity,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,3
이번 달이랑 지난달 학습 시간을 비교해줘,21.2882,26,6,compare_stats,none/implicit,3,2,2,1,0,1,1,2,0,work/productivity,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,3
이번 달이랑 지난달 작업 시간을 비교해줘,21.7818,26,6,compare_stats,none/implicit,3,2,2,1,0,1,1,2,0,work/productivity,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,3
여행 갔을 때 평소보다 평균 걸음 수가 얼마나 늘었지?,17.8381,36,9,compare_stats,health_fitness,3,2,2,1,0,1,1,2,0,entertainment_context,1,0,0,0,0,1,0,0,0,0,0,3,0,2,2,0,0,0,1,1,0,0,6,1,0,0,1,3
여행 갔을 때 평소보다 활동량이 얼마나 늘었지?,27.7023,34,8,compare_stats,health_fitness,3,2,2,1,0,1,1,2,0,entertainment_context,1,0,0,0,0,1,0,0,0,0,0,3,0,2,2,0,0,0,1,1,0,0,6,1,0,0,1,3
여행 갔을 때 평소보다 이동 거리가 얼마나 늘었지?,22.2324,36,9,compare_stats,location/places,3,2,2,1,0,1,1,2,0,entertainment_context,1,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,1,1,0,0,6,1,0,0,1,3
여행 갔을 때 평소보다 칼로리 소모가 얼마나 늘었지?,29.7746,36,9,compare_stats,health_fitness,3,2,2,1,0,1,1,2,0,entertainment_context,1,0,0,0,0,1,0,0,0,0,0,3,0,2,2,0,0,0,1,1,0,0,6,1,0,0,1,3
지난달에 집에서 보낸 시간과 밖에서 보낸 시간 비교해줘,36.7562,40,10,compare_stats,none/implicit,3,2,2,1,0,1,2,2,0,home_planning,1,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,1,1,0,0,6,1,0,0,2,3
지난달에 근무 시간과 여가 시간 비교해줘,21.8848,29,7,compare_stats,none/implicit,3,2,2,1,0,1,2,2,0,work/productivity,1,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,1,0,0,6,1,0,0,2,3
지난달과 이번달 취미생활하는데 쓴 시간 비교해줘,27.537,35,7,compare_stats,none/implicit,3,2,2,1,0,1,1,2,0,home_planning,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,1,1,0,0,2,3
지난달과 이번달에 가장 많이 먹은 음식 비교해줘,36.4351,36,8,compare_stats,none/implicit,3,2,2,1,0,1,3,2,0,home_planning,1,1,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,1,1,0,0,3,3
이번 주 요일 별 칼로리 소모량을 순서대로 알려줘,11.356,20,8,aggregate_stats,health/fitness,2,2,2,1,0,1,3,2,0,health_fitness,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,3
이번 주 날짜 별 칼로리 소모량을 순서대로 알려줘,20.8111,21,8,aggregate_stats,health/fitness,2,2,2,1,0,1,3,2,0,health_fitness,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,3
이번 주 시간 별 칼로리 소모량을 순서대로 알려줘,23.7308,21,8,aggregate_stats,health/fitness,2,2,2,1,0,1,3,2,0,health_fitness,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,3
이번 주 활동 별 칼로리 소모량을 순서대로 알려줘,32.4589,22,8,aggregate_stats,health/fitness,2,2,2,1,0,1,3,2,0,health_fitness,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,3
지난달 카드 결제 내역을 정리해서 가계부로 작성해줘,30.0569,24,7,aggregate_stats,finance/transactions,3,2,2,1,1,1,3,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,2,0,0,0,3,3
지난달 관리비 내역을 정리해서 가계부로 작성해줘,19.4243,25,7,aggregate_stats,finance/transactions,3,2,2,1,1,1,3,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,2,0,0,0,3,3
지난달 저축 금액 내역을 정리해서 가계부로 작성해줘,34.3083,26,8,aggregate_stats,finance/transactions,3,2,2,1,1,1,3,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,2,0,0,0,3,3
지난달 용돈 내역을 정리해서 가계부로 작성해줘,26.1903,24,7,aggregate_stats,finance/transactions,3,2,2,1,1,1,3,3,0,finance_context,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,2,0,0,0,3,3
작년 이맘때쯤 자주 들었던 음악 리스트 만들어줘,18.1467,22,6,generate_list,audio/music,4,1,1,1,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,3,0,1,2,1,0,0,0,0,0,1,12,0,0,0,2,2
작년 이맘때쯤 자주 시청한 영상 리스트 만들어줘,32.5002,24,6,generate_list,video,4,1,1,1,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,3,0,1,2,1,0,0,0,0,0,1,12,0,0,0,2,2
작년 이맘때쯤 자주 플레이한 게임 리스트 만들어줘,17.6907,24,6,generate_list,entertainment_media,4,1,1,1,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,3,0,1,2,1,0,0,0,0,0,1,12,0,0,0,2,2
작년 이맘때쯤 자주 읽은 책 리스트 만들어줘,20.6366,24,6,generate_list,text_note,4,1,1,1,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,3,0,1,2,1,0,0,0,0,0,1,12,0,0,0,2,2
어제 친구들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.3406,31,8,summarize_text,messaging/chat,1,2,2,1,1,1,2,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,0,0,2,3
어제 가족들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,18.0877,32,8,summarize_text,messaging/chat,1,2,2,1,1,1,2,2,1,home_planning,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,0,1,2,3
어제 팀원들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,24.9038,33,8,summarize_text,messaging/chat,1,2,2,1,1,1,2,2,1,work/productivity,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,1,0,0,0,2,3
어제 동료들과 단체 메신저 방에서 나눈 대화 내용을 요약해줘,21.806,33,8,summarize_text,messaging/chat,1,2,2,1,1,1,2,2,1,work/productivity,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,1,0,0,0,2,3
이번주 마트에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,22.965,35,10,generate_list,photo_image,2,2,1,1,1,1,3,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,0,1,0,1,3,0,0,0,3,2
이번주 다이소에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,35.0526,39,10,generate_list,photo_image,2,2,1,1,1,1,3,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,0,1,0,1,3,0,0,0,3,2
이번주 올리브영에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.6875,44,10,generate_list,photo_image,2,2,1,1,1,1,3,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,0,1,0,1,3,0,0,0,3,2
이번주 편의점에서 사야하는 물건 찍어둔 것 다 모아서 쇼핑리스트 만들어줘,21.0415,41,10,generate_list,photo_image,2,2,1,1,1,1,3,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,0,1,0,1,3,0,0,0,3,2
지난달에 정리한 강의노트를 한 장으로 요약 정리해줘,26.5597,30,7,summarize_text,text_note,3,2,2,1,1,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,2,0,0,0,2,3
지난달에 작성한 업무노트를 한 장으로 요약 정리해줘,32.4549,33,7,summarize_text,text_note,3,2,2,1,1,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,2,0,0,0,2,3
지난달에 녹음한 회의록을 한 장으로 요약 정리해줘,46.0703,34,7,summarize_text,audio/music,3,2,2,1,1,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,2,0,0,0,3,3
지난달에 촬영한 메모를 한 장으로 요약 정리해줘,40.983,32,7,summarize_text,photo_image,3,2,2,1,1,1,1,2,0,work/productivity,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,1,0,0,2,0,0,0,3,3
스페인 여행에서 내가 갔던 곳 모두 정리해서 알려줘,27.994,28,7,aggregate_stats,location/places,3,2,2,1,0,1,3,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,1,0,0,1,1,0,0,6,0,0,0,3,2
여름휴가 동안 내가 갔던 곳 모두 정리해서 알려줘,23.1966,27,7,aggregate_stats,location/places,4,2,2,1,0,1,3,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,3,0,1,2,1,0,0,1,1,0,0,12,0,0,1,3,2
지난 주말에 내가 갔던 곳 모두 정리해서 알려줘,19.0671,28,8,aggregate_stats,location/places,2,2,2,1,0,1,2,2,0,entertainment_context,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,1,1,0,0,1,0,0,1,2,2
가족 여행으로 내가 갔던 곳 모두 정리해서 알려줘,48.7953,30,8,aggregate_stats,location/places,4,2,2,1,0,1,3,2,1,home_planning,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,1,0,1,1,1,0,0,24,0,0,1,3,2
가족 단체 사진만 모두 모아서 영상으로 만들어줘,81.7913,25,7,create_video,photo_image,4,2,2,1,1,1,3,3,1,home_planning,0,0,1,0,0,0,0,1,0,0,0,4,0,1,2,0,1,1,0,1,0,0,24,0,0,1,3,2
반려동물 사진만 모두 모아서 영상으로 만들어줘,50.5136,23,7,create_video,photo_image,4,2,2,1,1,1,3,2,1,home_planning,0,0,1,0,0,0,0,1,0,0,0,4,0,1,2,0,1,0,0,1,0,0,24,0,0,1,3,2
내 증명 사진만 모두 모아서 영상으로 만들어줘,66.8085,21,7,create_video,photo_image,4,2,2,1,1,0,3,3,0,home_planning,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,12,0,0,1,3,2
친구들과 사진만 모두 모아서 영상으로 만들어줘,91.1981,25,7,create_video,photo_image,4,2,2,1,1,1,3,2,1,home_planning,0,0,1,0,0,0,0,1,0,0,0,4,0,1,2,0,1,1,0,1,0,0,24,0,0,1,3,2
만보 정도 걸을 수 있는 한강 산책 코스 추천해줘,14.7629,27,9,recommend_place,none/implicit,4,2,0,0,1,0,2,1,0,mobile_on_the_go,0,0,0,0,0,1,0,0,1,0,0,4,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,3
만보 정도 걸을 수 있는 동네 산책 코스 추천해줘,14.4268,27,9,recommend_place,none/implicit,4,2,0,0,1,0,2,1,0,mobile_on_the_go,0,0,0,0,0,1,0,0,1,0,0,4,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,3
만보 정도 걸을 수 있는 공원 산책로 추천해줘,18.6808,25,8,recommend_place,none/implicit,4,2,0,0,1,0,2,1,0,mobile_on_the_go,0,0,0,0,0,1,0,0,1,0,0,4,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,3
만보 정도 걸을 수 있는 해변 산책로 추천해줘,17.9301,25,8,recommend_place,none/implicit,4,2,0,0,1,0,2,1,0,mobile_on_the_go,0,0,0,0,0,1,0,0,1,0,0,4,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,3
10만원 정도 가격대로 갈 만한 집 근처 술집 찾아줘,14.7395,30,9,recommend_place,none/implicit,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,3
10만원 정도 가격대로 갈 만한 집 근처 식당 찾아줘,24.9278,30,9,recommend_place,none/implicit,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,3
10만원 정도 가격대로 갈 만한 집 근처 카페 찾아줘,16.5807,30,9,recommend_place,none/implicit,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,3
10만원 정도 가격대로 갈 만한 집 근처 펜션 찾아줘,24.5787,30,9,recommend_place,none/implicit,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,3
블랙핑크 '뛰어' 랑 비슷한 느낌의 노래 추천해줘,12.4405,27,7,recommend_content,none/implicit,4,2,0,0,1,0,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,3
영화 '귀멸의 칼날: 무한성 편'이랑 비슷한 느낌의 영화 추천해줘,12.1376,42,9,recommend_content,none/implicit,4,2,0,0,1,0,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,3
드라마 '오징어게임'이랑 비슷한 느낌의 드라마 추천해줘,26.245,34,6,recommend_content,none/implicit,4,2,0,0,1,0,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,3
책 '스토너'랑 비슷한 느낌의 책 추천해줘,24.9037,26,6,recommend_content,none/implicit,4,2,0,0,1,0,2,1,0,entertainment_context,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,3
지난번 두산이가 말했던 식당이랑 비슷한 곳 찾아줘,26.4361,33,7,recommend_place,none/implicit,3,2,1,0,1,1,2,1,1,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,6,0,0,0,1,3
지난번 두산이가 말했던 카페랑 비슷한 곳 찾아줘,24.0292,31,7,recommend_place,none/implicit,3,2,1,0,1,1,2,1,1,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,6,0,0,0,1,3
지난번 두산이가 말했던 나들이 장소랑 비슷한 곳 찾아줘,19.9965,35,7,recommend_place,none/implicit,3,2,1,0,1,1,2,1,1,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,6,0,0,0,1,3
지난번 두산이가 말했던 여행지랑 비슷한 곳 찾아줘,21.7256,33,7,recommend_place,none/implicit,3,2,1,0,1,1,2,1,1,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,1,0,0,0,1,6,0,0,0,1,3
이 사진에 있는 신발이랑 비슷한 디자인 찾아줘,21.4302,31,7,recommend_product,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
이 사진에 있는 티셔츠랑 비슷한 디자인 찾아줘,23.3894,31,7,recommend_product,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
이 사진에 있는 가구랑 비슷한 디자인 찾아줘,9.9031,29,7,recommend_product,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
이 사진에 있는 액세서리랑 비슷한 디자인 찾아줘,34.4119,34,7,recommend_product,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
이 노트에 있는 내용과 관련된 유튜브 찾아줘,32.3092,30,7,requires_external_like_search,text_note,4,2,0,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,1,0,0,3,0,0,0,1,3
이 논문에 있는 내용과 관련된 강의 영상 찾아줘,39.9892,35,7,recommend_content,text_note,4,2,0,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,1,0,0,1,0,0,6,0,0,0,1,3
이 회의록에 있는 내용과 관련된 뉴스 찾아줘,19.6215,31,7,recommend_content,text_note,4,2,0,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,0,0,3,0,0,0,1,3
이 메모에 있는 내용과 관련된 자료 찾아줘,24.0666,30,7,recommend_content,text_note,4,2,0,0,1,0,2,2,0,work/productivity,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,0,0,0,1,0,0,3,0,0,0,1,3
지난달에 갔던 캠핑장과 비슷한 곳 찾아줘,27.9766,33,6,recommend_place,none/implicit,3,2,1,0,1,1,2,2,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,6,0,0,0,2,3
지난달에 갔던 공원과 비슷한 곳 찾아줘,18.1948,29,6,recommend_place,none/implicit,3,2,1,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,6,0,0,0,2,3
지난달에 갔던 수목원과 비슷한 곳 찾아줘,17.8119,31,6,recommend_place,none/implicit,3,2,1,0,1,1,2,1,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,6,0,0,0,2,3
지난달에 갔던 나들이 장소와 비슷한 곳 찾아줘,37.8376,37,7,recommend_place,none/implicit,3,2,1,0,1,1,2,2,0,entertainment_context,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,6,0,0,0,2,3
사진에 있는 이런 가방을 구경해 볼 수 있는 곳 찾아줘,18.7553,34,8,recommend_place,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
사진에 있는 이런 소파를 구경해 볼 수 있는 곳 찾아줘,20.5872,36,8,recommend_place,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
사진에 있는 이런 식탁을 구경해 볼 수 있는 곳 찾아줘,32.2836,38,8,recommend_place,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
사진에 있는 이런 인테리어 장식을 구경해 볼 수 있는 곳 찾아줘,19.7669,39,9,recommend_place,photo_image,4,2,0,0,1,0,2,2,0,shopping_context,0,0,0,0,0,0,1,0,1,0,0,4,0,1,2,0,1,0,0,1,0,1,3,0,0,0,1,3
오늘 목표 걸음수를 채울 수 있는 코스 추천해줘,22.0324,19,8,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,1,0,1,3
지금 근처에서 할 수 있는 운동 추천해줘,13.1321,16,7,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,mobile_on_the_go,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,1,1,0,0,1,0,1,0,1,3
오늘 목표 칼로리를 달성 할 수 있는 운동 추천해줘,10.5821,20,9,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,1,0,1,3
오늘같은 날씨에 하면 좋을 운동 추천해줘,12.9894,17,6,recommend_content,none/implicit,1,3,1,0,1,0,2,2,0,health_fitness,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,3
지금 여기 아울렛에서 할인되는 카드 추천해줘,15.8561,17,6,recommend_product,none/implicit,1,3,1,0,1,0,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,3
지금 여기 백화점에서 할인되는 카드 추천해줘,17.9164,19,6,recommend_product,none/implicit,1,3,1,0,1,0,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,3
지금 여기 식당에서 할인되는 카드 추천해줘,17.2717,18,6,recommend_product,none/implicit,1,3,1,0,1,0,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,3
지금 여기 카페에서 할인되는 카드 추천해줘,14.4256,18,6,recommend_product,none/implicit,1,3,1,0,1,0,2,2,0,shopping_context,0,0,0,0,1,0,1,0,1,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,3
출퇴근 시간에 볼 만한 영상 추천해줘,18.0612,15,6,recommend_content,none/implicit,1,2,1,0,1,0,2,1,0,mobile_on_the_go,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
공부할 때에 들으면 좋은 노래 추천해줘,14.1756,16,6,recommend_content,none/implicit,4,2,1,0,1,0,2,1,0,work/productivity,0,0,0,0,0,0,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
운동 중에 즐길 만한 콘텐츠 추천해줘,17.051,15,6,recommend_content,none/implicit,4,2,1,0,1,0,2,1,0,health_fitness,0,0,0,0,0,1,0,1,1,0,0,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
휴식 시간에 읽기 좋은 책 추천해줘,12.775,14,6,recommend_content,none/implicit,1,2,1,0,1,0,2,1,0,home_planning,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,3
지금 대화 중인 친구들과 갈 만한 식당 찾아줘,18.7958,18,8,recommend_place,none/implicit,1,3,1,0,0,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,2
지금 대화 중인 친구들과 갈 만한 카페 찾아줘,19.255,18,8,recommend_place,none/implicit,1,3,1,0,0,0,2,2,1,mobile_on_the_go,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,1,0,1,2
